,company,description,location,post_date,salary,title,temp,city,temp1,state
659,Seattle Genetics,"Recognize inconsistencies and initiate resolution of data problems. Design, develop, evaluate and modify SAS programs to analyze and evaluate clinical data....","Bothell, WA 98021",21 days ago,,Statistical Programmer II,"[u'Bothell', u' WA 98021']",Bothell,[u' WA 98021'],WA
660,DataKind,"A Creative Data Scientist. And, you will easily translate between our partners and volunteer data scientists because you are well versed in both social sector...","New York, NY",13 days ago,,Data Science Manager,"[u'New York', u' NY']",New York,[u' NY'],NY
661,SAIC,"They will demonstrate skill operating a computer to input, retrieve, develop, and manipulate a variety of data and possess working knowledge of Microsoft...","Fort Benning, GA",8 days ago,,Operations Research & System Analyst I Job,"[u'Fort Benning', u' GA']",Fort Benning,[u' GA'],GA
662,Cabela's Inc.,Execute data transformation processes to load data into a data warehouse or to send to external business partners and ensure data accuracy and integrity....,"Sidney, NE",5 days ago,,Statistician 3,"[u'Sidney', u' NE']",Sidney,[u' NE'],NE
663,MD ANDERSON CANCER CENTER,Utilizes institutional and departmental databases to perform data retrieval for analysis. Collaborates on presentations and publications arising from data...,"Houston, TX",8 days ago,,Research Scientist - Leukemia,"[u'Houston', u' TX']",Houston,[u' TX'],TX
664,Philips Lighting,"Data Scientist (Senior). Strong working experience with Big Data and knowledge of big data infrastructure. Data Scientist, you will apply your data science and...","Cambridge, MA",28 days ago,,Data Scientist (Senior),"[u'Cambridge', u' MA']",Cambridge,[u' MA'],MA
665,Ipsos North America,"Senior Data Scientist. We’re looking for a capable and creative leader with a deep interest in data and analytics, who is experienced in designing, conducting...","Culver City, CA",30+ days ago,,ISC - Senior Data Scientist,"[u'Culver City', u' CA']",Culver City,[u' CA'],CA
666,"KS&R, Inc",Analyzes and interprets data. Presents findings in graphical presentation format....,"Syracuse, NY 13202 (Southwest area)",12 days ago,,Research Analyst,"[u'Syracuse', u' NY 13202 (Southwest area)']",Syracuse,[u' NY 13202 (Southwest area)'],NY
667,The Taylor-Wilks Group,"Excellent quantitative and data management skills, including statistical analysis and experience creating graphical representations of data....","Baltimore, MD 21202 (Old Town area)",5 days ago,"<nobr>$30,000 a year</nobr>",Research Analyst,"[u'Baltimore', u' MD 21202 (Old Town area)']",Baltimore,[u' MD 21202 (Old Town area)'],MD
668,OOCL (USA) Inc.,"Comfort manipulating and analyzing complex, high-volume, high-dimensionality data from varying data sources and big data sources....","San Jose, CA 95134 (North San Jose area)",30+ days ago,,Data Scientist,"[u'San Jose', u' CA 95134 (North San Jose area)']",San Jose,[u' CA 95134 (North San Jose area)'],CA
669,Yale University,Responsible for data analysis using various quantitative and qualitative statistical packages; Position will provide data research and data assistance support...,"New Haven, CT",30+ days ago,,Statistician Entry,"[u'New Haven', u' CT']",New Haven,[u' CT'],CT
670,CBRE,Responsible for conducting data audits and implementing processes to improve data quality. Interacts with the National Data Integrity Group and provides...,"Houston, TX",13 days ago,,Research Data Analyst,"[u'Houston', u' TX']",Houston,[u' TX'],TX
671,Etech Hi Inc.,"Experience with medical or clinical data is a plus. Oversee all program analytics including risk adjusted benchmark reports, external data validation,...","Chicago, IL",22 days ago,"<nobr>$85,000 a year</nobr>",Sr. Statistician,"[u'Chicago', u' IL']",Chicago,[u' IL'],IL
672,"Commonwealth Computer Research, Inc.","CCRi is looking for smart, innovative data scientists with analytical and software engineering skills....","Charlottesville, VA 22901 (29 North area)",30 days ago,,Data Scientist,"[u'Charlottesville', u' VA 22901 (29 North area)']",Charlottesville,[u' VA 22901 (29 North area)'],VA
673,AIR Worldwide,"Collect and analyze data related to assessing agriculture risk in new markets, including temperature, precipitation, soil information, crop yields, and crop...","Boston, MA 02116 (South End area)",27 days ago,,Research Scientist - Agriculture Risk Assessment and Modelin...,"[u'Boston', u' MA 02116 (South End area)']",Boston,[u' MA 02116 (South End area)'],MA
674,RSquare Edge Corp,"Experience working with large complex data sets across various data forms (table driven data, text data, audio data and other form of web data)....","New York, NY",30+ days ago,,Data Scientist,"[u'New York', u' NY']",New York,[u' NY'],NY
675,Venesco LLC,Is looking for a dynamic and experienced *Aeromedical Research Scientist*. 10+ years’ experience performing work related to aeromedical research and/or...,"Oklahoma City, OK",6 days ago,,Aeromedical Research Scientist,"[u'Oklahoma City', u' OK']",Oklahoma City,[u' OK'],OK
676,Wiley,"Wiley is a provider of content-enabled solutions that improve outcomes in research, education, and professional practice. Our core businesses produce","Hoboken, NJ",14 hours ago,,Business Analyst (Research),"[u'Hoboken', u' NJ']",Hoboken,[u' NJ'],NJ
677,Cypress HCM,"Senior Data Scientist. As the first Data Scientist on the team, you will be instrumental in utilizing novel machine learning methods to improve upon and create...","Redwood City, CA",23 hours ago,,Senior Data Scientist,"[u'Redwood City', u' CA']",Redwood City,[u' CA'],CA
678,Department of Veterans Affairs,"Receives data collected by study personnel and establish a filing system by patient to organize data, facilitate storage, and retrieval of data forms....","Hines, IL",5 days ago,,Statistical Assistant,"[u'Hines', u' IL']",Hines,[u' IL'],IL
679,Research Foundation of The City University of New...,Extensive data are available to support reservoir hydrodynamic and water quality modeling. Work will involve collaborative efforts with an interdisciplinary...,"New York, NY",30+ days ago,"<nobr>$61,000 - $62,000 a year</nobr>",Water Quality Modeler,"[u'New York', u' NY']",New York,[u' NY'],NY
680,TARGET,"Algorithm Developer, Junior Scientist, Project Scientist. Designs and drives the creation of new standards and best practices in the use of statistical data...","Sunnyvale, CA 94086",30 days ago,,Lead Data Scientist,"[u'Sunnyvale', u' CA 94086']",Sunnyvale,[u' CA 94086'],CA
681,All-In Analytics,This role will be responsible for leveraging analytics to train and evaluate models to gain insights to identify opportunities and solve business problems.,"New York, NY",6 days ago,"<nobr>$115,000 - $150,000 a year</nobr>",Machine Learning Data Scientist,"[u'New York', u' NY']",New York,[u' NY'],NY
682,AT&T,Data Scientists will usually have a Master’s; Qualified candidates may be asked to submit a Research Statement (required for Inventive Scientist applicants) and...,"New York, NY",11 days ago,,Senior Inventive Scientist (Labs Big Data Research),"[u'New York', u' NY']",New York,[u' NY'],NY
683,Purple Squirrel Management Consulting LLC,"Scientist for Virology & Infectious Diseases - Manassas, VA #16-0250*. Scientist will be responsible for leading research and product development in the area of...","Manassas, VA",3 days ago,,R&D Sr. Scientist for Virology & Infectious Diseases,"[u'Manassas', u' VA']",Manassas,[u' VA'],VA
684,"CSSI, Inc.","CSSI, Inc., a leading prime contractor to the Federal Aviation Administration (FAA) is in need of an Operations Research Analyst (ORA) to work with the FAA’s","Washington, DC",6 days ago,,Operations Research Analyst,"[u'Washington', u' DC']",Washington,[u' DC'],DC
685,x.ai,"NLP Data Scientist will. We have an awesome dataset, an awesome team of data scientists and an equally awesome NLP challenge....","New York, NY 10004 (Financial District area)",30+ days ago,,NLP Data Scientist,"[u'New York', u' NY 10004 (Financial District area)']",New York,[u' NY 10004 (Financial District area)'],NY
686,University of Texas at Austin,"Knowledge of digital signal processing, image processing, machine learning, autonomous control or statistical data analysis....","Austin, TX",20 days ago,"<nobr>$6,250 - $10,833 a month</nobr>",Engineering Scientist - R and D Algorithm and System Develop...,"[u'Austin', u' TX']",Austin,[u' TX'],TX
687,AAIPHARMA,"Ability to properly evaluate and interpret generated data; The Scientist, Analytical Development , will be responsible for development and validation of...","Charleston, SC",28 days ago,,"Scientist, Analytical Chemistry","[u'Charleston', u' SC']",Charleston,[u' SC'],SC
688,Twitter,Data is at the core of everything we do at TellApart - we thrive and prosper based on our ability to find insights in our data and apply them to drive revenue...,"San Francisco, CA 94103 (South Of Market area)",3 days ago,,Sr. Machine Learning Engineer - TellApart (Data Products),"[u'San Francisco', u' CA 94103 (South Of Market area)']",San Francisco,[u' CA 94103 (South Of Market area)'],CA
689,State Farm Mutual Automobile Insurance Company,"Manages division data files. Determines analytical requirements for data processing, including the selection of appropriate data, tabulations and statistical...","Bloomington, IL 61701",5 days ago,,Research Analyst,"[u'Bloomington', u' IL 61701']",Bloomington,[u' IL 61701'],IL
690,DocuSign,Work with data scientists on other teams to identify opportunities for shared work and to create a body of shared understanding and ways of framing the data....,"Seattle, WA 98101 (Downtown area)",30+ days ago,,Data Scientist,"[u'Seattle', u' WA 98101 (Downtown area)']",Seattle,[u' WA 98101 (Downtown area)'],WA
691,Lifetime Fitness,Experience tracking statistical data for basketball games. Life Time is currently seeking a qualified Ultimate Hoops Statistician....,"Westchester, NY",29 days ago,,Ultimate Hoops Statistician,"[u'Westchester', u' NY']",Westchester,[u' NY'],NY
692,1199SEIU Family of Funds,Prepare data requests and reports. Manage and review payroll postings to ensure they are entered accurately and efficiently....,"New York, NY",27 days ago,,Research Analyst,"[u'New York', u' NY']",New York,[u' NY'],NY
693,Disney Parks & Resorts,"Proven ability to lead and develop a team of Research Scientists. Help design a strategy to drive innovation across a variety of fields (robotics, computer...","Glendale, CA",18 days ago,,Lab Director - Disney Research,"[u'Glendale', u' CA']",Glendale,[u' CA'],CA
694,Wood Consulting,"Should be able to collect required data, elicit data for variables required, verify data appropriateness and accuracy, present findings and write/edit technical...","Annapolis Junction, MD",1 day ago,,Operations Research Systems Analysis Analyst (Senior),"[u'Annapolis Junction', u' MD']",Annapolis Junction,[u' MD'],MD
695,Columbus Technologies and Services,Biostatistical data analysis. RNA-seq) gene expression data. Graphical representation of complex data. Analysis of array-based and next-generation sequencing...,"Bethesda, MD",16 days ago,,Bioinformatics Scientist,"[u'Bethesda', u' MD']",Bethesda,[u' MD'],MD
696,Centers for Disease Control and Prevention,"As a Health Scientist your will:. In addition to meeting the basic requirements, applicants must have one year of specialized experience, equivalent to the GS...","Atlanta, GA",10 days ago,"<nobr>$61,956 - $96,538 a year</nobr>",Health Scientist,"[u'Atlanta', u' GA']",Atlanta,[u' GA'],GA
697,Public Health Institute,"Computerized Data Management-Manipulate data records from a database management system, using appropriate data management computer software, to produce...","Monrovia, CA 91016",9 days ago,,Statistician I,"[u'Monrovia', u' CA 91016']",Monrovia,[u' CA 91016'],CA
698,Vencore,"You will work as part of a small team to conceive and conduct in-depth research on topics in machine learning, scalable mathematical data manipulation...","Basking Ridge, NJ",18 days ago,,Data Analytics Researcher,"[u'Basking Ridge', u' NJ']",Basking Ridge,[u' NJ'],NJ
699,Zymergen,"The Scientist will work together with other scientists, automation engineers, and software engineers to deploy these new technologies in our microbe engineering...","Emeryville, CA 94608",30+ days ago,,"Scientist, CRISPR/Cas9 Genome Engineering","[u'Emeryville', u' CA 94608']",Emeryville,[u' CA 94608'],CA
700,DEPT OF HEALTH/MENTAL HYGIENE,"The Senior Analyst will work with a dynamic, cross-disciplinary team that extracts data from the New York State Medicaid data as well as other data resources...","Queens, NY",4 days ago,,"Senior Data Analyst, Primary Care Information Project","[u'Queens', u' NY']",Queens,[u' NY'],NY
701,Pratt & Whitney,"This study utilizes Survival Analysis, engine flight data, pollution data and physics based models from Pratt & Whitney Engineering....","East Hartford, CT 06108",1 day ago,,Statistician,"[u'East Hartford', u' CT 06108']",East Hartford,[u' CT 06108'],CT
702,Northwell Health,Ensure the collection and analysis of research data. You will collaborate with other Investigators and Scientists in facilitating scientific research....,"Manhasset, NY",13 days ago,,Investigator (Bioelectronic Medicine @ The Feinstein Institu...,"[u'Manhasset', u' NY']",Manhasset,[u' NY'],NY
703,Twist Bioscience,Scientist will build complex genes to service the synthetic biology industry; Scientist will manage day to day activities of others on the custom production...,"San Francisco, CA 94158 (South Of Market area)",14 hours ago,,Sr. Production Scientist,"[u'San Francisco', u' CA 94158 (South Of Market area)']",San Francisco,[u' CA 94158 (South Of Market area)'],CA
704,Brilliance Publishing,"You will mentor junior scientists, create and drive new initiatives. Experience working effectively with science, data processing, and software engineering...","Sunnyvale, CA",6 days ago,,Machine Learning Scientist,"[u'Sunnyvale', u' CA']",Sunnyvale,[u' CA'],CA
705,Stride Search,"Handling Big Data. Director of Analytics / Data Mining. The combination of big data in energy, data mining and consumer advertising come together to make this...","Sunnyvale, CA",2 days ago,,Director of Analytics / Data Mining,"[u'Sunnyvale', u' CA']",Sunnyvale,[u' CA'],CA
706,Institute for Defense Analyses,"He or she will collect, analyze, and interpret quantitative data needed to support the study analyses, and provide a strong analytical foundation for the study...","Alexandria, VA 22311 (Alexandria Wrest area)",9 days ago,,Statistician,"[u'Alexandria', u' VA 22311 (Alexandria Wrest area)']",Alexandria,[u' VA 22311 (Alexandria Wrest area)'],VA
707,Noblis,Team members will work collaboratively with the Noblis Lead Data Analytics architects and data scientists to design and implement an offline and near real time...,"Falls Church, VA 22042",30+ days ago,,Data Analytics Engineer,"[u'Falls Church', u' VA 22042']",Falls Church,[u' VA 22042'],VA
708,Acumen Solutions,"Data analysis and interpretation. 1+ years experience with one or more Business Intelligence and/or Data Mining Tools (MicroStrategy, Cognos, SAS, SPSS,...","Seven Hills, OH",8 days ago,,Quantitative Analyst,"[u'Seven Hills', u' OH']",Seven Hills,[u' OH'],OH
709,Castlight Health,"We’re hiring data scientists for a team to tackle a series of greenfield projects. The ideal candidate will be an entrepreneurial, motivated data scientist who...","San Francisco, CA 94105 (Financial District area)",30+ days ago,,Senior Data Scientist,"[u'San Francisco', u' CA 94105 (Financial District area)']",San Francisco,[u' CA 94105 (Financial District area)'],CA
710,Amway,"Skin Pigmentation Research Scientist – Bioassay Group. Work collaboratively to deliver technical review of data, procedures, recommendations and expertise in...","Ada, MI",2 days ago,,Skin Pigmentation Research Scientist,"[u'Ada', u' MI']",Ada,[u' MI'],MI
711,Celmatix,Our unique approach combines data science and genomics on a proprietary platform that is bringing precision medicine to fertility....,"New York, NY 10005 (Financial District area)",8 days ago,,Digital Marketing Associate,"[u'New York', u' NY 10005 (Financial District area)']",New York,[u' NY 10005 (Financial District area)'],NY
712,Houston Methodist,¿ The Research Data Analyst is responsible for all aspects of clinical data analyses for multiple studies. Three years minimum of experience in data analysis is...,"Houston, TX 77030 (Medical area)",5 days ago,,Research Database Analyst,"[u'Houston', u' TX 77030 (Medical area)']",Houston,[u' TX 77030 (Medical area)'],TX
713,Pinterest,Experience with web scale data and big data systems (e.g. We’re looking for a data scientist to help us connect Pinners to Pins they’ll love....,"San Francisco, CA 94103 (South Of Market area)",30+ days ago,,Data Scientist - Discovery Science,"[u'San Francisco', u' CA 94103 (South Of Market area)']",San Francisco,[u' CA 94103 (South Of Market area)'],CA
714,UT Health Science Center at San Antonio,"Evaluates and interprets research data to provide needed information to investigators. Design and carry out MRI studies, analyze MRI data, and write up papers...","San Antonio, TX",8 days ago,,Research Scientist,"[u'San Antonio', u' TX']",San Antonio,[u' TX'],TX
715,University of Virginia,The candidate will generate pre-clinical data in xenografts for CARs that have already been developed and will work with Dr....,"Charlottesville, VA",1 day ago,,Research Scientist,"[u'Charlottesville', u' VA']",Charlottesville,[u' VA'],VA
716,Investor Analytics,"The Financial Engineering group’s responsibilities include providing internal financial and technical expertise, including advising the Data Integration team...","New York, NY 10004 (Financial District area)",5 days ago,,Financial Engineer / Quantitative Analyst,"[u'New York', u' NY 10004 (Financial District area)']",New York,[u' NY 10004 (Financial District area)'],NY
717,Von Church,"2+ years of experience in a data analyst, financial analyst, data scientist or similar role performing quantitative, statistical or financial analysis....","San Francisco, CA",28 days ago,,Jr. Data Analyst,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA
718,University of Virginia,"In addition, qualified candidates will have at least 5 years of experience collaborating with research scientists in performing bioinformatics/genomics data...","Charlottesville, VA",19 days ago,"<nobr>$50,000 - $70,000 a year</nobr>",Bioinformatics Analyst,"[u'Charlottesville', u' VA']",Charlottesville,[u' VA'],VA
719,"Quadrant, Inc.",Define requirements for enhancing data analysis using statistical methods and appropriate tools. Work across organizational boundaries to elicit data...,"Quantico, VA 22134",1 day ago,,Data/Statistical Analyst,"[u'Quantico', u' VA 22134']",Quantico,[u' VA 22134'],VA
720,Millward Brown,"Data Science Consultant. We are looking for a data scientist with experience in marketing analytics, to join us with the title of Consultant/ Sr Consultant....","Lisle, IL",23 days ago,,Sr. Data Science Consultant,"[u'Lisle', u' IL']",Lisle,[u' IL'],IL
721,Aetna,"Work with data scientists, data engineers, business stakeholders and others to develop data governance processes around the Hadoop environment.· Provide input...","Hartford, CT 06156",29 days ago,,Business Project Program Data Manager,"[u'Hartford', u' CT 06156']",Hartford,[u' CT 06156'],CT
722,6sense,"Data Scientist/ Machine Learning. Developing processes to monitor and ensure data integrity. Combining multiple sources of data from APIs, RSS feeds, and human...","San Francisco, CA",8 days ago,,Data Scientist/Machine Learning,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA
723,Emerson Howell Nagel & Associates,Experience working with large data sets. Develop architecture for managing data flows from external sources. A leading automotive financial services company is...,"Philadelphia, PA",23 days ago,,Quantitative Analyst,"[u'Philadelphia', u' PA']",Philadelphia,[u' PA'],PA
724,Booz Allen Hamilton,Perform as a data scientist to support the practices of continuous integration and continuous delivery and deployment through the automation of application...,"Springfield, VA",9 days ago,,"DevOps Data Scientist, Senior","[u'Springfield', u' VA']",Springfield,[u' VA'],VA
725,UT Health Science Center at Houston,We are actively recruiting a Research Scientist who has at least 3 years of postdoctoral experience in eye research that involved using mouse models of human...,"Houston, TX",5 days ago,,Research Scientist,"[u'Houston', u' TX']",Houston,[u' TX'],TX
726,PSEG,This is a multi-level position with level placement dependent upon the skills and experience of the successful candidate. The successful candidate will work,"Newark, NJ",30+ days ago,,Quantitative Analyst,"[u'Newark', u' NJ']",Newark,[u' NJ'],NJ
727,Smule,"Familiarity with ""big data"" tools:. Data, including social interactions and musical performance audio. Ability to eloquently form an argument backed up by data....","Palo Alto, CA",30+ days ago,,Data Scientist,"[u'Palo Alto', u' CA']",Palo Alto,[u' CA'],CA
728,Ukpeagvik Iñupiat Corporation/Bowhead Family of Co...,"Provide statistical support for sample design, data collection, weighting procedures, handling missing data including multiple imputation....","Washington, DC",1 day ago,,Statistician I,"[u'Washington', u' DC']",Washington,[u' DC'],DC
729,The Climate Corporation,Passion for data analysis. The Data and Analytics team is focused on creating competitive advantage for Climate and our customers through novel data...,"St. Louis, MO",14 days ago,,Data Analyst,"[u'St. Louis', u' MO']",St. Louis,[u' MO'],MO
730,Fox Television Stations,"Established in 2001, Fox Stations Sales (FSS) is the national sales organization for the Fox owned and operated television stations group representing 17 Fox","New York, NY",30+ days ago,,Research Analyst,"[u'New York', u' NY']",New York,[u' NY'],NY
731,Educated Solutions Corp,"Gather information on current business challenges in order to inform research projects, define data sources or methodology required to collect and analyze data....","Lincolnshire, IL",14 days ago,,Research Analyst,"[u'Lincolnshire', u' IL']",Lincolnshire,[u' IL'],IL
732,Wuxi AppTec,Analysis and data processing of samples by GCMS Headspace GCMS and LCMS. Analysis and data processing of samples by HPLC and guided HPLC Method development....,"Saint Paul, MN",1 day ago,,Associate Scientist,"[u'Saint Paul', u' MN']",Saint Paul,[u' MN'],MN
733,BNY Mellon,"For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the","Boston, MA",6 days ago,,Quantitative Analyst - Standish,"[u'Boston', u' MA']",Boston,[u' MA'],MA
734,Bristol Myers Squibb,Perform data analysis and publishing of suite data; Provide scientific and technical leadership in ADME biology and high-throughput profilingLead a small team...,"Wallingford, CT 06492",1 day ago,,Research Scientist,"[u'Wallingford', u' CT 06492']",Wallingford,[u' CT 06492'],CT
735,University of Miami,"Ability to process/analyze/interpret/present experimental data. Where reporting requires data analysis, interpretation and modeling on test results. The....","Coral Gables, FL",7 days ago,,"Assoc. Scientist, GAB","[u'Coral Gables', u' FL']",Coral Gables,[u' FL'],FL
736,IBM,Advanced knowledge of programming in Data Science tools and data processing architecture. ¥ Advanced knowledge of programming in Data Science tools and data...,"New York, NY",11 days ago,,Open Source Solutions Architect (Data Scientist),"[u'New York', u' NY']",New York,[u' NY'],NY
737,CVS Health,Responsibilities of the Data Scientist – Senior Analyst include:. As a Data Scientist - Senior Consultant you will use SQL and SAS to pull and analyze data to...,"Woonsocket, RI",26 days ago,,Data Scientist - Senior Consultant,"[u'Woonsocket', u' RI']",Woonsocket,[u' RI'],RI
738,Frederick County Bank,Proven ability to analyze data; The successful Marketing Research & Development Analyst leverages her/his strong data mining abilities and partners with teams...,"Frederick, MD",5 days ago,,Marketing Research & Development Analyst,"[u'Frederick', u' MD']",Frederick,[u' MD'],MD
739,Bessemer Trust Company,The External Manager Solutions team is interviewing candidates for an open “Investment Management Research Analyst” position. External Manager Solutions is,"New York, NY 10111 (Midtown area)",5 days ago,,Investment Management Research Analyst,"[u'New York', u' NY 10111 (Midtown area)']",New York,[u' NY 10111 (Midtown area)'],NY
740,CNA Corp.,Qualified individuals will have a demonstrated ability to work with Chinese language sources and data. Has some relevant research experience and an increasing...,"Arlington, VA 22201 (Lyon Village area)",5 days ago,,Research Scientist - China Studies,"[u'Arlington', u' VA 22201 (Lyon Village area)']",Arlington,[u' VA 22201 (Lyon Village area)'],VA
741,Yale New Haven Hospital,Experience with Medicare/Medicaid Claims data (CMS data) strongly desired. Manages datasets in accordance with data use agreements and YNHH CORE data management...,"New Haven, CT 06510 (Downtown area)",22 days ago,,SR STATISTICAL ANALYST,"[u'New Haven', u' CT 06510 (Downtown area)']",New Haven,[u' CT 06510 (Downtown area)'],CT
742,BOEING,"Skilled scientists and thinkers. Boeing's Networks & Space Systems at Hill AFB, near Ogden, Utah is seeking a Software Engineer Level 3 to develop, documents...","Hill AFB, UT",6 days ago,,Software Engineer,"[u'Hill AFB', u' UT']",Hill AFB,[u' UT'],UT
743,Fluidigm,10+ years of working experience in data analysis for biological research. Extensive programming experience pertinent to analysis of large and diverse data sets....,"South San Francisco, CA",8 hours ago,,Director of Bioinformatics,"[u'South San Francisco', u' CA']",South San Francisco,[u' CA'],CA
744,JPMorgan Chase,Marketing Data Scientist Sr Associate. Acquire data from corporate data warehouse and other secondary data sources....,"Columbus, OH",30+ days ago,,Marketing Data Scientist Sr Associate,"[u'Columbus', u' OH']",Columbus,[u' OH'],OH
745,Clontech,Maintain an accurate and detailed lab notebook enabling other scientists to reproduce results. Works primarily in the laboratory to conduct experiments under...,"Mountain View, CA",6 days ago,,Research Associate II,"[u'Mountain View', u' CA']",Mountain View,[u' CA'],CA
746,Modis,"SQL background to extract data. Producing formal reports to collect data on monthly, quarterly and annual trends....","Northbrook, IL 60062",14 days ago,<nobr>$25 - $35 an hour</nobr>,Statistical Data Analyst // Exciting Long-term Contract in N...,"[u'Northbrook', u' IL 60062']",Northbrook,[u' IL 60062'],IL
747,University of Michigan,"Responsibilities* Participate in the implementation of existing research projects Write manuscripts Perform statistical analysis, and investigate/apply","Flint, MI",16 days ago,,Research Analyst,"[u'Flint', u' MI']",Flint,[u' MI'],MI
748,University at Buffalo,"We seek outstanding candidates with expertise in scientific data management, including database mining and building, visualization, experience in broad-based...","Buffalo, NY",8 days ago,,Research Scientist,"[u'Buffalo', u' NY']",Buffalo,[u' NY'],NY
749,Investopedia,"Powered by a team of data scientists and financial experts, Investopedia offers timely, trusted and actionable financial information for early investors to high...","New York, NY",5 days ago,,"Director, Audience Engagement and Analytics – Content & Edit...","[u'New York', u' NY']",New York,[u' NY'],NY
750,CBRE,Ability to handle and manipulate large amounts of data. Reviews and evaluates data results collected by themselves and others within the research team to ensure...,"San Diego, CA 92111",7 days ago,,Research Analyst,"[u'San Diego', u' CA 92111']",San Diego,[u' CA 92111'],CA
751,Progressive,Quantitative Data Analyst - Experienced. Quantitative Data Analyst – Experienced. Proven aptitude for learning and using data analysis reporting tools....,"Mayfield Village, OH",30+ days ago,,Quantitative Data Analyst - Experienced,"[u'Mayfield Village', u' OH']",Mayfield Village,[u' OH'],OH
752,"ATR International, Inc.","Verifies experimental data for usefulness and accuracy. Resolves non-routine, complex problems with data gathering, research, analysis and interpretive...","Irving, TX 75038",6 days ago,,Technical Support Scientist,"[u'Irving', u' TX 75038']",Irving,[u' TX 75038'],TX
753,Smart Host,"We’re looking for a brilliant data scientist who codes to found our data team. As our data scientist, you’ll develop a nascent data model and pricing algorithm...","New York, NY",30+ days ago,"<nobr>$60,000 - $90,000 a year</nobr>",Data Scientist (Lead),"[u'New York', u' NY']",New York,[u' NY'],NY
754,Adobe,"Data Scientist Intern. Performing analysis on big data from social media and web activity logs. Human-Computer Interaction, Data Mining, Information Retrieval,...","San Jose, CA",30+ days ago,,Data Scientist Intern,"[u'San Jose', u' CA']",San Jose,[u' CA'],CA
755,Averity,Examine and analyze data to increase alpha and decrease risk. Industry leading multi-billion dollar quant fund looking for Analysts that can drive quantitative...,"New York, NY",22 days ago,"<nobr>$150,000 - $300,000 a year</nobr>",Quantitative Analyst for Global Quant Fund,"[u'New York', u' NY']",New York,[u' NY'],NY
756,NBTY,"Performs comprehensive, sophisticated and critical evaluation of own data. Strong laboratory and experimental skills, data analysis and written and verbal...","Leonia, NJ",7 days ago,,Tech Services Scientist,"[u'Leonia', u' NJ']",Leonia,[u' NJ'],NJ
757,Siemens,"Analyzes and interprets data; Able to lead and develop a team of scientists. Demonstrates and applies thorough understanding of scientific methods, research...","Elkhart, IN",28 days ago,,"Sr Mgr, R&D","[u'Elkhart', u' IN']",Elkhart,[u' IN'],IN
758,Aspire Health,Assist with data preparation and data reporting. Working closely with Aspire’s broader data analytics team (including Chief Data Scientist Abe Gong and Director...,"Nashville, TN 37203",23 days ago,,Data Scientist,"[u'Nashville', u' TN 37203']",Nashville,[u' TN 37203'],TN
759,University of Michigan,Examples include portfolio review and user education on modeling and wealth screening data. Serve as a steward of the data in DART by maintaining clean and...,"Ann Arbor, MI",14 days ago,,Development Research Analyst,"[u'Ann Arbor', u' MI']",Ann Arbor,[u' MI'],MI
760,"Aspera, an IBM Company",The Data Engineer position will focus on big data architectural problems in the Hadoop ecosystem. Container-izing these data pipelines for deployment....,"Emeryville, CA",30+ days ago,,Data Analytics Engineer at AsperaLabs,"[u'Emeryville', u' CA']",Emeryville,[u' CA'],CA
761,Memorial Sloan Kettering,You are comfortable with or interested in working with and organizing large amounts of data. Our extraordinary scientists and clinicians work together to drive...,"New York, NY",9 days ago,,Research Study Specialist,"[u'New York', u' NY']",New York,[u' NY'],NY
762,Purigen Biosystems,Work with marketing and applications scientists to create extraction chemistries with easy-to-use workflows based on voice-of-customer feedback....,"Pleasanton, CA",22 days ago,,Senior Scientist,"[u'Pleasanton', u' CA']",Pleasanton,[u' CA'],CA
763,Target Complete Employment Solutions,"Data analysis, modeling, machine learning and prediction:. Statistical Expertise in Design of Experiments, Linear Modeling, Predictive Modeling, Bayesian...","Cincinnati, OH",5 days ago,,Data Scientist,"[u'Cincinnati', u' OH']",Cincinnati,[u' OH'],OH
764,Selby Jennings,"Integrate data and control APIs utilzing 3rd party biz apps. One of our largest start-up clients, a rapidly growing Bay Area startup, is looking to add an...","San Francisco, CA",9 days ago,"<nobr>$160,000 a year</nobr>",Business Intelligence/Data Scientist at VC Bay Area Start-up,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA
765,Polaris Management,"Analyze and collect data, present and defend findings. Polaris is seeking a Global Regulatory Research Analyst whose focus will be to maintain up-to-date...","New York, NY",16 days ago,,Global Regulatory Research Analyst,"[u'New York', u' NY']",New York,[u' NY'],NY
766,Corning,Ability to present data and analysis in both verbal and written/graphical form that broad audiences can understand....,"Corning, NY",10 days ago,,Industrial Statistician,"[u'Corning', u' NY']",Corning,[u' NY'],NY
767,Merck,"Familiarity with clinical data management concepts. Significant expertise in SAS and clinical trial programming including data steps, procedures, SAS/MACRO, SAS...","Rahway, NJ",12 days ago,,Senior Statistical Programmer Job,"[u'Rahway', u' NJ']",Rahway,[u' NJ'],NJ
768,"Trident Technical Solutions, LLC","Research data to improve customer engagement. Understand, categorize, organize, and interpret heterogeneous data sets....","Irving, TX",30+ days ago,,Data Scientist,"[u'Irving', u' TX']",Irving,[u' TX'],TX
