,budget,buf,country,date,gross,language,loction,production,runtime,tconst
196,"Opening Weekend:         $70,725        

      (USA)
      (11 September 1998)","Production Co:

Universal International Pictures (UI) 
See more »","Language:
English
|
Spanish","Also Known As: Badge of Evil
      
See more »","Gross:        $2,237,659        

      (USA)
(1 January 1999)","Release Date: 1 May 1958 (UK)
    
See more »","Budget:        $829,000        

      (estimated)","Production Co:

Universal International Pictures (UI) 
See more »","Runtime:
95 min
|
111 min
            (1998 alternate)
          |
108 min
            (1975 alternate)
          |
112 min
            (director's cut)
          |
106 min
            (DVD edition)
          |
111 min
            (restored)",tt0052311
197,"Budget:        $16,000,000        

      (estimated)","Production Co:

Stage 6 Films,        
Inferno Distribution,        
Hachiko 
See more »","Country:
USA
|
UK","Release Date: 12 March 2010 (UK)
    
See more »","Opening Weekend:         £442,753        

      (UK)
      (12 March 2010)","Language:
English
|
Japanese","Filming Locations:
Bristol, Rhode Island, USA

See more »","Production Co:

Stage 6 Films,        
Inferno Distribution,        
Hachiko 
See more »","Runtime:
93 min",tt1028532
198,"Budget:        $63,000,000        

      (estimated)","Gross:        $356,784,000        

      (USA)","Country:
USA","Release Date: 11 June 1993 (USA)
    
See more »","Opening Weekend:         £32,723,932        

      (UK)
      (13 August 1993)","Language:
English
|
Spanish","Filming Locations:
Jurassic Kahili Ranch, Kilauea, Kauai, Hawaii, USA

See more »","Gross:        $356,784,000        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »",tt0107290
199,"Production Co:

Nibariki,        
Tokuma Shoten,        
Hakuhodo 
See more »","Runtime:
117 min
|
95 min
            (1985)
            (edited)","Country:
Japan","Release Date: 11 March 1984 (Japan)
    
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Language:
Japanese","Budget:        $1,000,000        

      (estimated)","Runtime:
117 min
|
95 min
            (1985)
            (edited)","Color:
Color",tt0087544
200,"Production Co:

Twentieth Century Fox Film Corporation 
See more »","Runtime:
129 min
|
108 min
            (cut)","Language:
English","Also Known As: Highway 66
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 15 March 1940 (USA)
    
See more »","Budget:        $800,000        

      (estimated)","Runtime:
129 min
|
108 min
            (cut)","Color:
 Black and White",tt0032551
201,"Budget:        $4,000,000        

      (estimated)","Production Co:

Rollins-Joffe Productions 
See more »","Country:
USA","Release Date: 20 April 1977 (USA)
    
See more »","Gross:        $39,200,000        

      (USA)","Language:
English
|
German","Filming Locations:
W. Century Blvd. & Airport Blvd, Los Angeles, California, USA

See more »","Production Co:

Rollins-Joffe Productions 
See more »","Runtime:
93 min",tt0075686
202,"Budget:        $58,000,000        

      (estimated)","Gross:        $363,024,263        

      (USA)
(3 June 2016)","Country:
USA","Release Date: 12 February 2016 (USA)
    
See more »","Opening Weekend:         $135,050,000        

      (USA)
      (12 February 2016)","Language:
English","Filming Locations:
Vancouver, British Columbia, Canada

See more »","Gross:        $363,024,263        

      (USA)
(3 June 2016)","Show detailed
company contact information
  on 
  IMDbPro »",tt1431045
203,"Production Co:

Kinostudiya ''Mosfilm'' 
See more »","Runtime:
163 min
|
155 min
            (2002 DVD)","Language:
Russian","Also Known As: Stalker
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 17 April 1980 (Netherlands)
    
See more »","Budget:        RUR 6,000,000        

      (estimated)","Runtime:
163 min
|
155 min
            (2002 DVD)","Color:
Color
(Sovcolor)|  Black and White
| Color
(Eastmancolor)",tt0079944
204,"Gross:        $5,400,000        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
English
|
German
|
French","Also Known As: Antes del amanecer
      
See more »","Production Co:

Castle Rock Entertainment,        
Detour Filmproduction,        
Filmhaus Wien Universa Filmproduktions 
See more »","Release Date: 27 January 1995 (USA)
    
See more »","Budget:        $2,500,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Dolby SR",tt0112471
205,"Budget:        $22,000,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Country:
UK
|
India","Release Date: 25 February 1983 (USA)
    
See more »","Production Co:

International Film Investors,        
National Film Development Corporation of India (NFDC),        
Goldcrest Films International 
See more »","Language:
English","Filming Locations:
Aga Khan Palace, Nagar Rd, Pune, Maharashtra, India

See more »","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Dolby
(35 mm prints) (as Dolby Stereo: in selected threatres)| 70 mm 6-Track
(70 mm prints)",tt0083987
206,"Budget:        $110,000,000        

      (estimated)","Gross:        $227,137,090        

      (USA)
(22 November 2007)","Country:
USA
|
Germany","Release Date: 3 August 2007 (USA)
    
See more »","Opening Weekend:         $69,283,690        

      (USA)
      (3 August 2007)","Language:
English
|
French
|
Arabic
|
Russian
|
Spanish","Filming Locations:
Germany

See more »","Gross:        $227,137,090        

      (USA)
(22 November 2007)","Show detailed
company contact information
  on 
  IMDbPro »",tt0440963
207,"Budget:        $60,000,000        

      (estimated)","Gross:        $125,603,360        

      (USA)
(9 October 1998)","Country:
USA","Release Date: 5 June 1998 (USA)
    
See more »","Opening Weekend:         $31,542,121        

      (USA)
      (5 June 1998)","Language:
English","Filming Locations:
Falls Lake, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA

See more »","Gross:        $125,603,360        

      (USA)
(9 October 1998)","Show detailed
company contact information
  on 
  IMDbPro »",tt0120382
208,"Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono
(A.R.T.E.C.)","Language:
French
|
English","Also Known As: Diabolique
      
See more »","Runtime:
116 min","Release Date: 21 November 1955 (USA)
    
See more »","Production Co:

Filmsonor,        
Vera Films 
See more »","Sound Mix:
Mono
(A.R.T.E.C.)",Aspect Ratio: 1.37 : 1,tt0046911
209,"Opening Weekend:         $46,380        

      (Hong Kong)
      (5 March 2004)","Production Co:

CJ Entertainment,        
Muhan Investment,        
Sidus Pictures 
See more »","Country:
South Korea","Release Date: 2 May 2003 (South Korea)
    
See more »","Gross:        $14,131        

      (USA)
(29 July 2005)","Language:
Korean
|
English","Budget:        $2,800,000        

      (estimated)","Production Co:

CJ Entertainment,        
Muhan Investment,        
Sidus Pictures 
See more »","Runtime:
131 min
|
129 min
|
127 min
            (Filmfest Hamburg)",tt0353969
210,"Budget:        $4,500,000        

      (estimated)","Gross:        $727,883        

      (USA)
(1 October 2004)","Country:
USA","Release Date: 26 October 2001 (USA)
    
See more »","Opening Weekend:         $110,494        

      (USA)
      (26 October 2001)","Language:
English","Filming Locations:
Santa Clarita, California, USA

See more »","Gross:        $727,883        

      (USA)
(1 October 2004)","Show detailed
company contact information
  on 
  IMDbPro »",tt0246578
211,"Budget:        $960,000        

      (estimated)","Production Co:

Chartoff-Winkler Productions,        
United Artists 
See more »","Country:
USA","Release Date: 3 December 1976 (USA)
    
See more »","Gross:        $117,235,247        

      (USA)","Language:
English","Filming Locations:
2822-2824 Rosehill St, Philadelphia, Pensylvannia, USA

See more »","Production Co:

Chartoff-Winkler Productions,        
United Artists 
See more »","Runtime:
120 min
|
145 min
            (director's cut)",tt0075148
212,"Budget:        $135,000,000        

      (estimated)","Gross:        $183,635,922        

      (USA)
(20 May 2016)","Country:
USA
|
Hong Kong
|
Taiwan
|
Canada","Release Date: 8 January 2016 (USA)
    
See more »","Opening Weekend:         $474,560        

      (USA)
      (25 December 2015)","Language:
English
|
Pawnee
|
French","Filming Locations:
Calgary, Alberta, Canada

See more »","Gross:        $183,635,922        

      (USA)
(20 May 2016)","Show detailed
company contact information
  on 
  IMDbPro »",tt1663202
213,"Opening Weekend:         $11,947        

      (USA)
      (9 April 1999)","Production Co:

Cineriz,        
Francinex 
See more »","Country:
Italy
|
France","Release Date: 25 June 1963 (USA)
    
See more »","Gross:        $50,690        

      (USA)
(23 April 1999)","Language:
Italian
|
English
|
French
|
German","Filming Locations:
Cinecittà Studios, Cinecittà, Rome, Lazio, Italy

See more »","Production Co:

Cineriz,        
Francinex 
See more »","Runtime:
138 min",tt0056801
214,"Budget:        $2,777,000        

      (estimated)","Gross:        $22,202,612        

      (USA)
(11 October 2013)","Country:
USA","Release Date: 25 August 1939 (USA)
    
See more »","Opening Weekend:         $5,354,311        

      (USA)
      (6 November 1998)","Language:
English","Filming Locations:
Culver City, California, USA

See more »","Gross:        $22,202,612        

      (USA)
(11 October 2013)","Show detailed
company contact information
  on 
  IMDbPro »",tt0032138
215,"Budget:        $115,000,000        

      (estimated)","Gross:        $289,907,418        

      (USA)
(26 April 2013)","Country:
USA","Release Date: 2 November 2001 (USA)
    
See more »","Opening Weekend:         $62,577,067        

      (USA)
      (2 November 2001)","Language:
English","Filming Locations:
Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA

See more »","Gross:        $289,907,418        

      (USA)
(26 April 2013)","Show detailed
company contact information
  on 
  IMDbPro »",tt0198781
216,"Budget:        $125,000,000        

      (estimated)","Gross:        $380,955,619        

      (USA)
(11 November 2011)","Country:
USA
|
UK","Release Date: 15 July 2011 (USA)
    
See more »","Opening Weekend:         $169,189,427        

      (USA)
      (15 July 2011)","Language:
English","Filming Locations:
England, UK

See more »","Gross:        $380,955,619        

      (USA)
(11 November 2011)","Show detailed
company contact information
  on 
  IMDbPro »",tt1201607
217,"Budget:        $6,500,000        

      (estimated)","Production Co:

Hemdale,        
Pacific Western,        
Euro Film Funding 
See more »","Country:
UK
|
USA","Release Date: 26 October 1984 (USA)
    
See more »","Gross:        $38,400,000        

      (USA)","Language:
English
|
Spanish","Filming Locations:
Tunnel at Lower Grand & West Gen Thad Kosciuszko Way, Los Angeles, California, USA

See more »","Production Co:

Hemdale,        
Pacific Western,        
Euro Film Funding 
See more »","Runtime:
107 min",tt0088247
218,"Opening Weekend:         £1,320,430        

      (UK)
      (19 April 1996)","Production Co:

Universal Pictures,        
Atlas Entertainment,        
Classico 
See more »","Language:
English
|
French","Also Known As: 12 Monkeys
      
See more »","Gross:        $56,882,000        

      (USA)","Release Date: 5 January 1996 (USA)
    
See more »","Budget:        $29,000,001        

      (estimated)","Production Co:

Universal Pictures,        
Atlas Entertainment,        
Classico 
See more »","Runtime:
129 min",tt0114746
219,"Gross:        $23,650,000        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
English","Also Known As: Glory for Me
      
See more »","Production Co:

Samuel Goldwyn Company, The 
See more »","Release Date: 17 June 1947 (Argentina)
    
See more »","Budget:        $2,100,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono
(Western Electric Recording)",tt0036868
220,"Gross:        $70,906,973        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
English
|
French
|
Italian","Also Known As: Hechizo del tiempo
      
See more »","Production Co:

Columbia Pictures Corporation 
See more »","Release Date: 12 February 1993 (USA)
    
See more »","Budget:        $14,600,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Dolby SR
(as Dolby Stereo)",tt0107048
221,"Budget:        $40,000,000        

      (estimated)","Gross:        $74,098,862        

      (USA)
(5 August 2005)","Country:
USA","Release Date: 1 April 2005 (USA)
    
See more »","Opening Weekend:         $29,120,273        

      (USA)
      (1 April 2005)","Language:
English","Filming Locations:
Austin, Texas, USA","Gross:        $74,098,862        

      (USA)
(5 August 2005)","Show detailed
company contact information
  on 
  IMDbPro »",tt0401792
222,"Opening Weekend:         £23,764        

      (UK)
      (13 August 1999)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
English
|
French","Also Known As: Alfred Hitchcock's 'Strangers on a Train'
      
See more »","Production Co:

Warner Bros. 
See more »","Release Date: 30 June 1951 (USA)
    
See more »","Budget:        $1,200,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono
(RCA Sound System)",tt0044079
223,"Opening Weekend:         $179,789        

      (Japan)
      (24 October 2003)","Production Co:

Media Asia Films,        
Basic Pictures 
See more »","Country:
Hong Kong","Release Date: 12 December 2002 (Hong Kong)
    
See more »","Gross:        $89,594        

      (USA)
(15 October 2004)","Language:
Cantonese
|
English
|
Thai","Budget:        $6,428,966        

      (estimated)","Production Co:

Media Asia Films,        
Basic Pictures 
See more »","Runtime:
101 min
|
97 min
            (director's cut)",tt0338564
224,"Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono
(RCA Sound System)","Language:
English","Also Known As: Adel verpflichtet
      
See more »","Runtime:
106 min","Release Date: 14 June 1950 (USA)
    
See more »","Production Co:

Ealing Studios 
See more »","Sound Mix:
Mono
(RCA Sound System)",Aspect Ratio: 1.37 : 1,tt0041546
225,"Budget:        $8,000,000        

      (estimated)","Production Co:

Zanuck/Brown Productions,        
Universal Pictures 
See more »","Country:
USA","Release Date: 20 June 1975 (USA)
    
See more »","Gross:        $260,000,000        

      (USA)","Language:
English","Filming Locations:
Martha's Vineyard, Massachusetts, USA

See more »","Production Co:

Zanuck/Brown Productions,        
Universal Pictures 
See more »","Runtime:
124 min
|
130 min
            (Extended Edition)",tt0073195
226,"Budget:        €2,590,000        

      (estimated)","Production Co:

Canal+,        
Cofinergie 6,        
Egg Pictures 
See more »","Country:
France","Release Date: 23 February 1996 (USA)
    
See more »","Gross:        $309,811        

      (USA)","Language:
French","Filming Locations:
Chanteloup-les-Vignes, Yvelines, France

See more »","Production Co:

Canal+,        
Cofinergie 6,        
Egg Pictures 
See more »","Runtime:
98 min",tt0113247
227,"Budget:        $46,000,000        

      (estimated)","Gross:        $60,962,878        

      (USA)
(29 November 2013)","Country:
USA","Release Date: 20 September 2013 (USA)
    
See more »","Opening Weekend:         $20,817,053        

      (USA)
      (20 September 2013)","Language:
English","Filming Locations:
Conyers, Georgia, USA

See more »","Gross:        $60,962,878        

      (USA)
(29 November 2013)","Show detailed
company contact information
  on 
  IMDbPro »",tt1392214
228,"Production Co:

Peregrine,        
Hawk Films,        
Warner Bros. 
See more »","Runtime:
184 min","Language:
English
|
German
|
French","Also Known As: Beri Lindon
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 18 December 1975 (USA)
    
See more »","Budget:        $11,000,000        

      (estimated)","Runtime:
184 min","Color:
Color
(Metrocolor)| Color
(Eastmancolor)",tt0072684
229,"Budget:        $800,000        

      (estimated)","Gross:        $815,345        

      (USA)
(10 September 2004)","Country:
Italy
|
Algeria","Release Date: 20 September 1967 (USA)
    
See more »","Opening Weekend:         $64,870        

      (USA)
      (9 January 2004)","Language:
French
|
Arabic
|
English","Filming Locations:
Algeria

See more »","Gross:        $815,345        

      (USA)
(10 September 2004)","Show detailed
company contact information
  on 
  IMDbPro »",tt0058946
230,"Production Co:

Warner Bros.,        
Artists Entertainment Complex 
See more »","Runtime:
125 min
|
131 min
            (1975)","Language:
English","Also Known As: Tarde de perros
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 21 September 1975 (USA)
    
See more »","Budget:        $1,800,000        

      (estimated)","Runtime:
125 min
|
131 min
            (1975)","Color:
Color
(Technicolor)",tt0072890
231,"Budget:        $108,000,000        

      (estimated)","Gross:        $228,430,993        

      (USA)
(11 March 2016)","Country:
USA
|
UK","Release Date: 2 October 2015 (USA)
    
See more »","Opening Weekend:         $54,308,575        

      (USA)
      (2 October 2015)","Language:
English
|
Mandarin","Filming Locations:
Hungary

See more »","Gross:        $228,430,993        

      (USA)
(11 March 2016)","Show detailed
company contact information
  on 
  IMDbPro »",tt3659388
232,"Budget:        $52,000,000        

      (estimated)","Gross:        $164,435,221        

      (USA)
(18 April 2003)","Country:
USA
|
Canada","Release Date: 25 December 2002 (USA)
    
See more »","Opening Weekend:         $30,082,000        

      (USA)
      (27 December 2002)","Language:
English
|
French","Filming Locations:
2186 East Crary Street, Altadena, California, USA

See more »","Gross:        $164,435,221        

      (USA)
(18 April 2003)","Show detailed
company contact information
  on 
  IMDbPro »",tt0264464
233,"Production Co:

Beijing ShengShi HuaRei Film Investment & Management Co.,        
China Film Co-Production Corporation,        
Mandarin Films Distribution 
See more »","Runtime:
106 min","Country:
Hong Kong
|
China","Release Date: 12 December 2008 (China)
    
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Language:
Cantonese
|
Mandarin
|
Japanese","Budget:        $11,715,578        

      (estimated)","Runtime:
106 min","Color:
Color",tt1220719
234,"Budget:        $14,000,000        

      (estimated)","Gross:        $91,121,452        

      (USA)
(8 May 2015)","Country:
UK
|
USA","Release Date: 25 December 2014 (USA)
    
See more »","Opening Weekend:         $479,352        

      (USA)
      (28 November 2014)","Language:
English
|
German","Filming Locations:
London, England, UK

See more »","Gross:        $91,121,452        

      (USA)
(8 May 2015)","Show detailed
company contact information
  on 
  IMDbPro »",tt2084970
235,"Budget:        $140,000,000        

      (estimated)","Gross:        $305,388,685        

      (USA)
(26 December 2003)","Country:
USA","Release Date: 9 July 2003 (USA)
    
See more »","Opening Weekend:         $46,630,690        

      (USA)
      (11 July 2003)","Language:
English","Filming Locations:
Bequia, St Vincent and the Grenadines

See more »","Gross:        $305,388,685        

      (USA)
(26 December 2003)","Show detailed
company contact information
  on 
  IMDbPro »",tt0325980
236,"Budget:        $25,000,000        

      (estimated)","Gross:        $169,705,587        

      (USA)
(2 March 2012)","Country:
USA
|
India
|
United Arab Emirates","Release Date: 10 August 2011 (USA)
    
See more »","Opening Weekend:         $26,044,590        

      (USA)
      (12 August 2011)","Language:
English","Filming Locations:
Clarksdale, Mississippi, USA

See more »","Gross:        $169,705,587        

      (USA)
(2 March 2012)","Show detailed
company contact information
  on 
  IMDbPro »",tt1454029
237,"Production Co:

Cinematograph AB,        
Svenska Filminstitutet (SFI),        
Gaumont 
See more »","Runtime:
188 min
|
312 min
            (TV miniseries)","Language:
Swedish
|
German
|
Yiddish
|
English","Also Known As: Fanny and Alexander
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 17 December 1982 (Sweden)
    
See more »","Budget:        $6,000,000        

      (estimated)","Runtime:
188 min
|
312 min
            (TV miniseries)","Color:
Color
(Eastmancolor)",tt0083922
238,"Budget:        $170,000,000        

      (estimated)","Gross:        $333,130,696        

      (USA)
(9 January 2015)","Country:
USA
|
UK","Release Date: 1 August 2014 (USA)
    
See more »","Opening Weekend:         $94,320,883        

      (USA)
      (1 August 2014)","Language:
English","Filming Locations:
Shepperton Studios, Shepperton, Surrey, England, UK

See more »","Gross:        $333,130,696        

      (USA)
(9 January 2015)","Show detailed
company contact information
  on 
  IMDbPro »",tt2015381
239,"Budget:        $220,000,000        

      (estimated)","Gross:        $623,279,547        

      (USA)
(28 September 2012)","Country:
USA","Release Date: 4 May 2012 (USA)
    
See more »","Opening Weekend:         $207,438,708        

      (USA)
      (4 May 2012)","Language:
English
|
Russian","Filming Locations:
Pittsburgh, Pennsylvania, USA

See more »","Gross:        $623,279,547        

      (USA)
(28 September 2012)","Show detailed
company contact information
  on 
  IMDbPro »",tt0848228
240,"Gross:        $3,500,000        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
Italian
|
Spanish","Also Known As: A Fist Full of Dollars
      
See more »","Production Co:

Jolly Film,        
Constantin Film Produktion,        
Ocean Films 
See more »","Release Date: 18 January 1967 (USA)
    
See more »","Budget:        $200,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono
(Western Electric Sound System)",tt0058461
241,"Production Co:

Nibariki,        
Studio Ghibli,        
Tokuma Shoten 
See more »","Runtime:
125 min","Country:
Japan","Release Date: 2 August 1986 (Japan)
    
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Language:
Japanese","Opening Weekend:         $1,315,182        

      (France)
      (17 January 2003)","Runtime:
125 min","Color:
Color",tt0092067
242,"Budget:        $15,000,000        

      (estimated)","Gross:        $138,795,342        

      (USA)
(10 June 2011)","Country:
UK
|
USA
|
Australia","Release Date: 25 December 2010 (USA)
    
See more »","Opening Weekend:         $355,450        

      (USA)
      (26 November 2010)","Language:
English","Filming Locations:
Halton House, Halton, Wendover, Buckinghamshire, England, UK

See more »","Gross:        $138,795,342        

      (USA)
(10 June 2011)","Show detailed
company contact information
  on 
  IMDbPro »",tt1504320
243,"Production Co:

Paramount Pictures 
See more »","Runtime:
118 min
|
117 min
            (cut)","Language:
English
|
Italian
|
German","Also Known As: La princesa que quería vivir
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 2 September 1953 (USA)
    
See more »","Budget:        $1,500,000        

      (estimated)","Runtime:
118 min
|
117 min
            (cut)","Color:
 Black and White
(archive footage)|  Black and White",tt0046250
244,"Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono
(Western Electric Recording)| Mono
(Perspecta Sound encoding)","Language:
Japanese","Also Known As: Throne of Blood
      
See more »","Runtime:
110 min","Release Date: 22 November 1961 (USA)
    
See more »","Production Co:

Toho Company,        
Kurosawa Production Co. 
See more »","Sound Mix:
Mono
(Western Electric Recording)| Mono
(Perspecta Sound encoding)",Aspect Ratio: 1.37 : 1,tt0050613
245,"Production Co:

Stanley Kramer Productions 
See more »","Runtime:
85 min","Language:
English
|
Spanish","Also Known As: A la hora señalada
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 30 July 1952 (USA)
    
See more »","Budget:        $750,000        

      (estimated)","Runtime:
85 min","Color:
 Black and White",tt0044706
246,"Budget:        INR 184,000,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Country:
India","Release Date: 2 August 2012 (Singapore)
    
See more »","Production Co:

Jar Pictures,        
AKFPL,        
Bohra Bros Productions 
See more »","Language:
Hindi","Filming Locations:
Varanasi, Uttar Pradesh, India","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Dolby Digital
| Datasat",tt1954470
247,"Budget:        $25,000,000        

      (estimated)","Gross:        $218,967,620        

      (USA)
(4 May 2012)","Country:
USA","Release Date: 22 November 1991 (USA)
    
See more »","Opening Weekend:         £44,797        

      (UK)
      (4 January 2002)","Language:
English
|
French","Filming Locations:
Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA

See more »","Gross:        $218,967,620        

      (USA)
(4 May 2012)","Show detailed
company contact information
  on 
  IMDbPro »",tt0101414
248,"Opening Weekend:         £92,227        

      (UK)
      (27 October 2000)","Production Co:

Block 2 Pictures,        
Jet Tone Production,        
Paradis Films 
See more »","Country:
Hong Kong
|
China","Release Date: 9 March 2001 (USA)
    
See more »","Gross:        $2,734,044        

      (USA)
(1 June 2001)","Language:
Cantonese
|
Shanghainese
|
French","Filming Locations:
Angkor Wat, Siem Reap, Cambodia

See more »","Production Co:

Block 2 Pictures,        
Jet Tone Production,        
Paradis Films 
See more »","Runtime:
98 min",tt0118694
